usage_id,subscription_id,usage_date,feature_name,usage_count,usage_duration_secs,error_count,is_beta_feature
U-6b1580,S-be655e,2024-07-28,feature_40,5,2085,0,False
U-a60033,S-4e4ab7,2023-06-05,feature_27,10,5470,0,False
U-ebb375,S-9e450b,2023-02-09,feature_28,6,2778,0,False
U-f65bba,S-3dc46b,2024-07-14,feature_20,5,930,1,False
U-0286e4,S-4dae4f,2023-12-09,feature_4,10,4610,0,False
U-99f042,S-5272ff,2023-10-11,feature_4,12,4884,2,False
U-a66f10,S-e3dff3,2024-04-04,feature_40,14,4872,0,False
U-77404d,S-6c969d,2024-08-31,feature_3,9,5022,0,False
U-a5433e,S-f0081e,2023-03-02,feature_1,14,2324,1,False
U-e860b8,S-6c969d,2024-02-07,feature_19,7,1582,0,True
U-804bf8,S-8c9649,2023-01-13,feature_14,5,2985,0,False
U-708d27,S-ec690c,2023-08-15,feature_22,8,1464,2,True
U-0abd90,S-de7a48,2024-01-03,feature_23,7,1778,0,False
U-7d32fc,S-e7e4bd,2024-12-03,feature_37,8,2824,0,False
U-ba50ee,S-51924b,2023-02-04,feature_4,12,5064,0,False
U-545d0c,S-58ab69,2024-01-22,feature_11,13,4511,0,False
U-892c50,S-53361d,2024-01-24,feature_21,8,2128,3,False
U-700b4b,S-44c5dd,2024-02-05,feature_12,6,1782,2,False
U-385a00,S-b147b9,2024-04-15,feature_35,13,3445,2,False
U-0b0bbc,S-d1b062,2023-11-12,feature_22,8,816,0,False
U-9c486f,S-94b283,2023-09-08,feature_1,16,8928,0,True
U-a446ec,S-9dcef8,2024-01-29,feature_26,10,4590,0,True
U-f82b52,S-70d15d,2023-09-04,feature_27,10,1880,0,False
U-92a37d,S-f72b84,2023-09-19,feature_30,3,1437,0,True
U-e5b4b3,S-c2f293,2024-12-12,feature_39,10,1340,0,False
U-6043b0,S-24796e,2024-03-31,feature_8,12,1176,0,False
U-f7842e,S-65071f,2023-12-28,feature_34,10,1320,2,False
U-7c5c2b,S-4e00a0,2024-08-02,feature_7,11,4939,0,False
U-912828,S-4793bb,2024-07-02,feature_24,15,5175,0,False
U-031f15,S-008f3c,2024-07-17,feature_6,6,1950,0,True
U-1662fe,S-8b64df,2024-04-19,feature_31,12,2112,1,False
U-3ddaf4,S-195f9b,2024-01-26,feature_36,13,6942,2,False
U-a92688,S-70af60,2024-07-14,feature_25,5,815,1,False
U-6b41f7,S-e36ccb,2024-09-21,feature_19,8,4432,0,True
U-62568a,S-22014f,2023-03-02,feature_17,15,1425,1,False
U-d352f7,S-bc7cab,2023-10-13,feature_32,10,2900,0,False
U-6b0253,S-e78c09,2023-05-11,feature_7,12,3048,2,False
U-780828,S-8fbabd,2024-11-30,feature_5,4,1940,0,False
U-37266b,S-b57a5e,2024-08-19,feature_34,19,4332,1,False
U-e65d2a,S-bfc0f8,2023-01-30,feature_17,13,3354,1,False
U-8e343f,S-4d8633,2024-02-20,feature_36,5,1910,0,False
U-123e83,S-a5d1e3,2023-08-28,feature_26,11,1771,0,False
U-1c4a11,S-7d0dea,2024-08-07,feature_33,9,3672,0,False
U-006569,S-b1d153,2024-12-02,feature_20,9,1782,0,False
U-5a9e42,S-c77f0c,2024-04-09,feature_13,5,685,1,True
U-9e4889,S-12f05a,2023-06-01,feature_16,11,3553,0,False
U-9656e3,S-871e83,2024-12-24,feature_24,7,3822,0,False
U-04745a,S-f1778c,2024-11-22,feature_18,12,6192,3,False
U-b3b4a4,S-4dae4f,2024-04-09,feature_26,6,1674,0,False
U-78de54,S-8b345c,2023-07-24,feature_24,8,2000,0,False
U-dfc2a7,S-90432a,2024-01-15,feature_37,9,4392,0,False
U-83e410,S-704cf3,2024-02-07,feature_25,14,7266,0,False
U-b426f0,S-0144ac,2023-10-20,feature_24,5,135,0,False
U-b4d7bc,S-802cc6,2024-09-25,feature_20,12,6300,1,False
U-a77713,S-97bc99,2024-01-26,feature_26,8,2512,0,False
U-48baed,S-0a8acf,2023-07-05,feature_25,7,910,1,False
U-62c766,S-a5d949,2023-02-23,feature_17,7,3934,3,False
U-42a464,S-628842,2023-04-30,feature_20,19,6251,2,False
U-616f37,S-8f181e,2023-04-17,feature_2,11,385,1,False
U-690821,S-5ddf8d,2023-06-10,feature_14,11,4136,0,False
U-068eef,S-834097,2024-10-25,feature_2,12,6552,0,False
U-897937,S-7ba2ad,2023-12-16,feature_10,9,2088,2,False
U-add9aa,S-f2d47e,2023-05-12,feature_5,11,3531,0,False
U-6de5a2,S-de6767,2023-06-30,feature_2,19,3705,0,True
U-0a141e,S-bd2ab2,2024-10-08,feature_32,20,5140,0,False
U-52da99,S-9be237,2024-10-17,feature_29,8,1896,0,False
U-e3feff,S-510999,2023-12-25,feature_3,6,2910,0,False
U-b7dda3,S-3aa11b,2023-02-16,feature_33,6,1176,0,False
U-10b0be,S-02984e,2023-06-12,feature_13,11,4345,0,False
U-f2eb07,S-2d62ad,2023-05-29,feature_14,10,2260,0,False
U-ed3e27,S-69cc68,2023-05-26,feature_11,9,4725,0,False
U-a0c7fb,S-004eb4,2023-06-07,feature_12,8,1496,1,False
U-c1baa6,S-9c06f8,2024-02-19,feature_4,9,3519,0,True
U-a1cddd,S-7e2e5c,2024-10-12,feature_31,13,3315,2,False
U-5d6a94,S-86e45a,2024-11-16,feature_21,11,2629,5,False
U-84c980,S-14a685,2023-11-09,feature_8,11,6380,1,False
U-d00bfb,S-863c87,2024-06-04,feature_19,9,3717,0,False
U-8986cb,S-4c9107,2023-03-06,feature_21,12,3456,0,False
U-6d805b,S-51cb35,2023-02-16,feature_24,5,1655,0,False
U-14fdac,S-c22c29,2024-08-29,feature_14,6,1998,0,False
U-f870f2,S-497428,2023-06-12,feature_1,7,539,0,False
U-7cccec,S-21f8b3,2023-11-11,feature_5,2,422,0,False
U-7d5257,S-929a7c,2024-12-16,feature_20,6,1272,0,False
U-aa639b,S-ca0eb1,2024-09-09,feature_6,6,2376,0,False
U-6a440d,S-a408fe,2024-11-19,feature_38,11,3817,0,False
U-5b948f,S-4695b8,2023-10-06,feature_19,12,6972,3,False
U-d5d63e,S-2ccc04,2023-01-02,feature_9,9,3915,1,False
U-ac9343,S-d8165b,2024-04-20,feature_26,7,2226,1,False
U-8a9ccc,S-92afb8,2023-07-26,feature_25,11,3960,1,False
U-8a0d40,S-33eb1d,2023-11-18,feature_40,11,3311,0,False
U-a16319,S-d1b062,2023-11-11,feature_17,6,474,2,False
U-735684,S-0896f4,2024-03-06,feature_9,8,3944,0,False
U-39d415,S-9dbe8c,2024-08-12,feature_35,9,4851,0,False
U-bf0205,S-b45a10,2023-10-04,feature_7,9,2340,0,False
U-baf889,S-f1aa04,2024-05-05,feature_3,6,2970,2,False
U-67cb5b,S-08f8d3,2023-10-21,feature_27,8,3072,0,False
U-f082ec,S-37b367,2024-04-28,feature_38,10,1400,0,False
U-be625d,S-da8d5f,2023-02-08,feature_16,8,120,0,False
U-92dfae,S-82eb3e,2023-05-20,feature_8,11,2343,0,False
U-eee6be,S-620b62,2023-12-08,feature_26,9,3321,0,False
U-36c307,S-89e98a,2023-07-13,feature_17,7,2380,2,True
U-94bb68,S-a09e70,2024-02-02,feature_15,13,1183,0,False
U-a1fb43,S-1a9fb7,2023-08-17,feature_35,10,5680,0,False
U-462fde,S-e98121,2023-02-19,feature_14,11,3388,0,False
U-71cb0c,S-4a8fda,2023-02-04,feature_16,6,1224,1,False
U-c89f69,S-f93185,2024-02-21,feature_14,5,575,2,False
U-e3bccf,S-1c06f3,2024-03-01,feature_33,9,3690,1,False
U-874edd,S-27e9ad,2023-01-29,feature_3,12,6840,0,False
U-b73d27,S-19edee,2024-12-28,feature_10,9,5283,0,False
U-f50dcc,S-27ab7f,2024-01-26,feature_38,15,840,0,False
U-226ffe,S-eccbe0,2023-07-12,feature_3,8,2512,0,False
U-432eac,S-9dda85,2023-06-15,feature_36,8,2336,0,False
U-64db53,S-1eba7d,2024-02-05,feature_22,7,1330,0,False
U-146e07,S-15a058,2023-08-09,feature_14,10,150,1,False
U-e008f9,S-ab63e3,2024-12-09,feature_8,21,9303,1,False
U-fb2e12,S-1f93cd,2023-05-26,feature_31,11,3960,0,False
U-1de9bd,S-89e27e,2024-10-19,feature_24,12,2640,1,False
U-ecec8d,S-52385a,2023-03-22,feature_12,4,964,0,False
U-58fa3f,S-704cf3,2023-05-15,feature_3,7,945,0,False
U-ffa2b1,S-27e9ad,2023-10-31,feature_30,14,1036,0,False
U-b1ebc3,S-5d8b88,2023-01-17,feature_6,11,5170,0,False
U-1882b5,S-f5df4a,2023-08-21,feature_35,11,5016,0,False
U-7e829d,S-1acdd2,2023-11-21,feature_39,9,414,0,False
U-b10aad,S-526874,2024-06-30,feature_19,14,3710,0,False
U-e1811f,S-6696a0,2023-05-31,feature_16,10,5020,0,False
U-7459a1,S-3503cb,2023-08-30,feature_23,11,6281,0,False
U-6fb7d2,S-a3300f,2024-12-02,feature_17,13,5148,0,False
U-7e1630,S-c5a75d,2023-07-27,feature_19,10,3060,0,False
U-2d6696,S-bbff6f,2024-06-15,feature_32,15,7875,0,False
U-21d564,S-a1d6ad,2024-01-19,feature_40,9,3519,0,False
U-900110,S-e9a159,2023-03-24,feature_26,12,4344,0,False
U-4375c4,S-869bba,2024-11-11,feature_38,13,5408,0,False
U-da7d36,S-fe0bc0,2024-01-22,feature_5,10,3480,0,True
U-859a25,S-e874c1,2023-07-01,feature_37,14,7266,0,False
U-3700f4,S-1dfa14,2023-11-18,feature_34,8,2720,0,True
U-92883b,S-398291,2023-08-11,feature_8,11,3223,0,True
U-32a3b2,S-0b7de7,2024-06-10,feature_13,8,944,3,True
U-9fef3d,S-f94b9b,2023-01-21,feature_4,9,2061,0,False
U-33ebe1,S-c18476,2023-07-13,feature_7,22,176,0,False
U-70e4b6,S-8c41e8,2023-10-04,feature_16,10,5470,0,False
U-0a7851,S-00fb6e,2024-12-06,feature_11,8,3456,0,False
U-2d992a,S-89c6dc,2023-08-21,feature_12,11,6314,2,False
U-859c70,S-b48787,2024-02-17,feature_12,2,824,2,False
U-c0693e,S-c64e87,2024-03-08,feature_24,6,3600,2,False
U-c65bb0,S-a0ba0c,2024-10-31,feature_18,12,3096,1,False
U-a532b8,S-e4ba87,2024-09-28,feature_9,4,1932,1,False
U-08dae2,S-de6767,2024-01-21,feature_24,9,3717,0,False
U-3a0ef7,S-ea8479,2023-07-29,feature_20,10,5240,0,False
