subscription_id,account_id,start_date,end_date,plan_tier,seats,mrr_amount,arr_amount,is_trial,upgrade_flag,downgrade_flag,churn_flag,billing_frequency,auto_renew_flag,days_overdue
S-0f6f44,A-9b9fe9,2024-06-11,,Pro,17,833,9996,False,False,False,False,monthly,True,0
S-24796e,A-cc8c8f,2024-11-27,,Enterprise,23,4577,54924,False,False,False,False,annual,False,0
S-9333c5,A-ef84cf,2024-06-06,2024-08-13,Basic,8,152,1824,False,False,False,True,annual,False,0
S-37e3ad,A-b30291,2024-04-25,,Basic,5,95,1140,False,False,False,False,monthly,True,0
S-b17d04,A-e19ff6,2024-03-06,,Pro,8,392,4704,False,False,False,False,monthly,True,0
S-3bd427,A-2e3bad,2024-12-04,2024-12-27,Basic,61,1159,13908,False,False,False,True,monthly,True,0
S-082b15,A-aa9511,2024-02-09,,Enterprise,97,19303,231636,False,False,False,False,annual,True,0
S-287914,A-a1b80b,2024-08-15,,Pro,16,784,9408,False,False,False,False,annual,True,0
S-c75159,A-bcf87c,2024-08-22,2024-09-28,Enterprise,31,6169,74028,False,False,False,True,monthly,True,0
S-49a9aa,A-10b8f2,2023-06-16,,Basic,51,969,11628,False,False,False,False,annual,True,0
S-2877e6,A-95b24a,2024-06-28,,Enterprise,38,0,0,True,True,True,False,monthly,True,0
S-ddad91,A-40906c,2024-06-21,,Enterprise,92,0,0,True,False,False,False,annual,False,0
S-da0a69,A-49b828,2023-05-11,,Pro,6,294,3528,False,False,False,False,monthly,True,0
S-763d33,A-ef84cf,2024-07-25,,Basic,23,437,5244,False,False,True,False,annual,False,0
S-ad39ef,A-e40f45,2024-08-25,,Pro,21,0,0,True,True,False,False,annual,True,0
S-7f8cd8,A-53f4e3,2024-09-18,2024-11-17,Enterprise,20,3980,47760,False,False,False,True,monthly,True,0
S-e912e6,A-a8d89d,2023-12-12,,Enterprise,78,15522,186264,False,False,False,False,monthly,True,0
S-b9ff15,A-95b24a,2024-01-08,,Enterprise,43,8557,102684,False,False,False,False,annual,False,0
S-10bd09,A-bbc346,2024-09-03,,Basic,50,950,11400,False,False,False,False,annual,True,0
S-dbc1ca,A-8adedc,2024-04-24,,Enterprise,14,2786,33432,False,False,False,False,annual,True,0
